Title,Author,Date,Category,Content,URL
FG to provide 500 housing units in each state,Segun Giwa,8/14/2025 19:41,General News,"FG to provide 500 housing units in each state
House
By Segun Giwa
Akure, Aug. 14, 2025 (NAN) Mr Ahmed Akintola, Director of Urban Development, Federal Ministry of Housing and Urban Development, says the Federal Government is planning to provide 500 housing units in each state of the federation.
He said that additional 1000 units would also be provided in the Renewed Hope City in the six geopolitical zones.
Akintola stated this during a courtesy visit to the state Commissioner for Physical Planning and Urban Development, Mr Sunday Olajide, on Thursday in Akure.
He added 100 housing units would be provided in each of the 774 Local Government Areas, while economic housing units would also be provided in all the farm settlement across the country.
Akintola said he was in the state with a team of building experts and consulting firm to conduct housing deficit survey in Akure, with the aim of understanding the level of housing shortages to initiate inclusive housing development in the state.
�??This is part of the Federal Government initiative for broader national programme aimed at generating accurate and up-to-date data on housing demand and supply gaps, housing quality and access to basic services which is in line with the Renewed Hope Agenda of President Bola Ahmed Tinubu and the Sustainable Development Goals (SGDs),�?� he said.
Akintola said the visit was to solicit the cooperation and support of the state government in providing relevant records or secondary data.
He said the visit would enhance the successful conduct of the survey and officially introduce the lead consultant and field team in order to facilitate their access to key stakeholders as well as establishing institutional collaboration with the Ministry.
Responding, Commissioner for Physical Planning and Urban Development, Mr Sunday Olajide assured the team that Gov. Lucky Aiyedatiwa was always receptive of positive collaborations with the state government.
He said that both physical and infrastructural development of the state, in line with the development programmes of his administration, would always be welcomed.
The commissioner commended the Federal Government for acknowledging housing deficit in the country.
He said the initiative would close the gap by providing affordable housing units across the country and enjoined the team to engage critical stakeholders in the state to achieve success in their assignment.
In his remarks, the lead Consultant, Dr Osunsanmi Abolabo, declared that 35-member team comprising of housing experts, town planners, supervisors and enumerators had been selected for the enumeration of 5 per cent houses in Akure. (NAN)(www.nannews.ng)
GSD/IKU
Edited by Tayo Ikujuni",https://nannews.com.ng/2025/08/14/fg-to-provide-500-housing-units-in-each-state/
MSF raises alarm over escalating cholera outbreak in Zamfara,Folasade Akpan,8/14/2025 19:17,Health,"MSF raises alarm over escalating cholera outbreak in Zamfara
Cholera
By Folasade Akpan/08059110536
Abuja, Aug. 14, 2025 (NAN) M??decins Sans Fronti??res (MSF), has expressed concern over the rising number of cholera cases in Zamfara State, calling for action to avert more loss of lives.
The medical humanitarian organisation, also known as Doctors Without Borders, raised the alarm in a statement it issued on Thursday.
MSF�??s Medical Coordinator in Nigeria, Dr David Kizito, said that already, more than 1, 500 cases from three medical facilities the MSF had been supporting in the state.
He added that other humanitarian actors and the state�??s Ministry of Health had also reported high incidence rates in other parts of Zamfara.
He said MSF had focused its response on hotspot areas such as Shinkafi, Zurmi, and Talata Mafara, where access to safe water remains critically low.
According to him, while cholera has been endemic in Nigeria for decades, seasonal outbreaks often intensify between April and October.
�??�??Flooding during the period contaminates water sources, accelerating the spread of the disease in areas with poor sanitation.
�??Cholera causes severe diarrhoea and vomiting, and if untreated, can lead to rapid dehydration and death within hours,�?� he said.
Kizito also said that MSF had scaled up its Water, Sanitation, and Hygiene (WASH) interventions and health promotion activities.
This, he said, was alongside other humanitarian actors and the ministry of health, which activated a Public Health Emergency Operations Centre (EOC) on July 3.
On expansion of cholera treatment, he said that MSF had began services in the state in mid-June, following the first suspected case at one of its supported facilities.
According to him, this included boosting case management and surveillance, alongside scaled-up WASH activities.
�??�??In Zurmi, MSF and other humanitarian actors supported the ministry in opening a Cholera Treatment Centre (CTC) at Zurmi General Hospital.
�??�??In July, it also assisted the ministry in setting up a Cholera Treatment Unit (CTU) at Talata Mafara General Hospital and a CTC at Shinkafi General Hospital,�??�?? he said.
Kizito said that between June 16 and August 5, the Zurmi CTC reported 562 suspected cases, mostly from Yambuki, Kadamusa, and Zurmi town.
He added that in Shinkafi General Hospital, about 401 cases were recorded between July 11 and August 5, and the worst-affected areas being Shinkafi North Ward, particularly Alkalawa, Sabon Gari, and Kurya.
He further said that 58 cases came from Isa LGA which has a border with Sokoto state.
�??�??At the Talata Mafara CTU, more than 600 cases were recorded between July 1 and August 8, with Kayaye accounting for the highest percentage; cases also came from Anka and Bakura LGAs,�??�?? he said.
MSF�??s Medical Coordinator in Nigeria said the outbreak was unfolding in a context of insecurity, displacement, and limited access to clean water and sanitation.
The situation, he said, was exacerbated by the rainy season.
He, however, assured of MSF�??s continuous commitment to working alongside communities, health authorities, and other partners to ensure timely treatment, prevention, and support.
�??MSF emphasises the importance of setting up decentralised oral rehydration points and enabling all existing primary healthcare centres to treat mild and moderate suspected cholera cases.
�??This will ensure timely treatment, reduce complications, and allow prompt referral to dedicated CTCs in hospitals such as Zurmi, Shinkafi, and Talata.
�??Moreover, urgent cholera vaccination is needed to halt transmission and save lives,�??�?? he said.
Kizito said that participation of everyone in Zamfara was needed to reduce the spread, stating, �??�??no one should die from a preventable disease.�?�
MSF Head of Mission in Nigeria, Dr Ahmad Bilal, encouraged abiding by certain hygiene practices to reduce the risk of contracting the disease.
�??Access to safe drinking water through boiling, practising regular handwashing, consuming freshly prepared meals, avoiding open defecation.
�??Also, keeping vaccinations up to date are straightforward yet highly effective measures to safeguard yourself and your family from preventable diseases,�?� (NAN)(www.nannews.ng)
FOF/JEO
=======
Edited Jane-Frances Oraka",https://nannews.com.ng/2025/08/14/msf-raises-alarm-over-escalating-cholera-outbreak-in-zamfara/
"Alleged N1.8trn fraud: Investors seek EFCC, SEC�??s probe of cryptocurrency firm",taiye agbaje,8/14/2025 19:17,Judiciary,"Alleged N1.8trn fraud: Investors seek EFCC, SEC�??s probe of cryptocurrency firm
Probe
By Taiye Agbaje
Abuja, Aug. 14, 2025 (NAN) No fewer than 14, 000 Nigerian investors have prayed the Economic and Financial Crimes Commission (EFCC) to investigate activities of a cryptocurrency firm, MTS/TOFRO, over alleged N1.8 trillion investment fraud.
The petitioners, though their lawyer, Ebuka Nwaeze, also urged the Securities and Exchange Commission (SEC) to investigate the extent of the firm�??s compliance with the commission�??s regulations and the allegation of its collapse.
While a petition addressed to the EFCC�??s chairman was received on Aug. 6, the petition written to the SEC DG was received on Aug. 13.
The certified true copies of the documents were made available to newsmen on Thursday in Abuja.
Nwaeze urged the EFCC to investigate the matter, trace, recover and redistribute the funds of his clients and prosecute any person found culpable in the alleged unlawful activity.
He said this would serve as a deterrence �??to other fraudulent characters from doing so and to altogether shore up the cyber security reputation of Nigeria.�?�
It reads: �??We are solicitors to Nigerians of various walks of life who engaged in digital trading on the cryptocurrency trading platform known as MTS/TOFRO crypto trading platform.
�??Our clients number over 14 million Nigerians, who are registered traders on the trading platform, where legitimate exchange and trade of digital assets were being carried out under an ostensibly secure digital platform.
�??Our clients�?? enlistment and participation on the platform was in good faith, being that MTS/TOFRO is a reputable organisation registered in the United States of America and its platform enjoys wide participation in America as well as in various counties in Europe.�?�
The lawyer alleged that the operators of the platform capitalised on the SEC�??s call for regulation of crypto trading platforms to convince investors that they were already in the process of registration and reopening of the platform after full compliance, while they closed down their physical offices.
He said many of his clients, being law abiding citizens, considered and found the activity of the platform to be in consonance with the National Digital Economy Policy and Strategy (2020-2030), which encourages Nigerians to participate in the digital economy.
He said this was so since the Federal Government �??proclaimed active pursuit of digital transformation to create jobs and increase the contribution of the digital economy to the Nigerian GDP from about 14.3% to 21% by the year 2030.�?�
The EFCC�??s Head, Media and Publicity, Dele Oyewale, confirmed that the commission received the petition.
�??The matter involving MTS/OFRO is currently before the commission,�?� he said..(NAN)(www.nannews.ng)
TOA/SH
=======
Edited by Sadiya Hamza",https://nannews.com.ng/2025/08/14/alleged-n1-8trn-fraud-investors-seek-efcc-secs-probe-of-cryptocurrency-firm/
"NGO, NAWOJ partner to drive stronger advocacy for women, youths",Jacinta Nwachukwu,8/14/2025 19:00,Metro,"National President of NAWOJ, Aisha Ibrahim with the Director of Programme Quality and Influencing, Plan International,?� Dr Helen Idiong, during the signing of a memorandum of understanding (MoU) on Thursday in Abuja.
Partnership
By Jacinta Nwachukwu
Abuja, Aug. 14, 2025 (NAN) A non-governmental organisation (NGO), Plan International Nigeria, says it will partner with Nigeria Association of Women Journalists (NAWOJ) to drive stronger advocacy for women and youths in Bauchi and Sokoto states.
The News Agency of Nigeria (NAN) reports that the partnership between the two parties was sealed through the signing of a memorandum of understanding (MoU) on Thursday in Abuja.
The NGO�??s Director of Programme Quality and Influencing, Dr Helen Idiong, said that the collaboration was aimed at driving stronger advocacy, amplifying visibility and strengthening capacity building for women�??s rights and youth-led organisations in the two states.
Idiong stated that the initiative would be actualised under its Plan International Nigeria�??s Adolescent Girls and Young Women�??s Sexual and Reproductive Health and Rights (ASPIRE) project, aiming to impact 20 million girls in five years.
According to her, the ASPIRE project, funded by Global Affairs Canada, works to dismantle barriers to sexual and reproductive health and rights for adolescent girls and young women.
�??It will also advance gender equality and inclusive participation in decision-making by creating an enabling environment for local organisations to thrive.
�??We believe that whatever is causing the girls to be down there, issues around poverty, discrimination?�and all of the patriarchal things that affect girls, if they are removed, girls will have?�a better life.
�??And you will agree with me that when girls are in their best elements, the country and the home will be better for all.
�??No one can tell a woman�??s story better than a woman herself. And so all of the great work that we are doing in our project in Sokoto, Bauchi, across the space, it�??s only we women who can tell the story the way it should be told,�?� she said.
Idiong highlighted the organisation�??s programmes to include: policy engagement and partnership building to address systemic barriers, amplification of girls�?? voices and creation of enabling environment where children and young people, especially girls, can learn, lead, decide and thrive.
This, she said, was to ensure that their priorities shaped public discourse and advanced their rights in policy and practice.
In her remarks, the National President of NAWOJ, Aisha Ibrahim, appreciated the organisation for the initiative, saying that it underscored its commitment to advocating for gender equality and the rights of every child.
Ibrahim said that NAWOJ actively engaged in advocacy on societal and humanitarian issues, particularly focusing on persons of concern, including orphans and vulnerable children, among others.
�??This partnership is not merely a formality, it is a declaration of our united vision, a vision that seeks to create a world where children and girls can thrive, where their voices are heard and where their rights are upheld.
�??Through this collaborative framework on the ASPIRE project, we will implement strategic capacity-building initiatives designed to empower the local women�??s rights and youth-led organisations as well as enhance their skills,�?� she said.
NAN reports that Plan International is an independent development and humanitarian organisation founded over 85 years ago for the purpose of advancing children�??s rights and equality for girls. (NAN)(www.nannews.ng)
JIN/WAS
Edited by �??Wale Sadeeq",https://nannews.com.ng/2025/08/14/ngo-nawoj-partner-to-drive-stronger-advocacy-for-women-youths/
"Economic Reforms:?�CCN President commends Tinubu, seeks periodic policy review",Akeem Abas,8/14/2025 18:54,General News,"Economic Reforms:
CCN President commends Tinubu, seek periodic policy review
Review
By Akeem Abas
Ibadan, Aug. 14, 2025 (NAN) Most Rev. David Onuoha, the President,
Christian Council of Nigeria (CCN), has commended the Federal Government�??s courage in introducing reforms to tackle Nigeria�??s decades-long economic and social challenges.
He gave the commendation on Thursday at the CCN 2025 Standing Committee meeting held at Institute of Church and Society in Ibadan.
The News Agency of Nigeria (NAN) reports that the CCN is a leading collective of various Christian denominations committed to fostering unity and promoting social justice.
Onuoha stressed the need for periodic policy reviews to ensure citizens directly benefit from programmes and policies?� of government.
He said that human welfare, not statistical figures, must guide the measurement of government reforms�?? success.
The CCN president also said that such economic problems could not be resolved overnight, and advised citizens to be patient and leaders to be sincere to achieve lasting economic transformation.
The cleric lamented the severe hunger, anger and bitterness in the country, calling for urgent government intervention to avert potential social unrest.
Onuoha urged state governors to heed President Tinubu�??s call on them to utilise increased allocations available at their disposal effectively.
He insisted that mere admonition was insufficient to address the daily hunger and frustration confronting millions of Nigerians.
The cleric decried non-compliance with the Supreme Court�??s ruling on local government autonomy, advocating innovative accountability mechanisms as legislative bodies in many states appear under executive influence.
Onuoha expressed concern over persistent insecurity in spite significant investments, describing the toll on citizens, property and security forces while demanding a reassessment of security strategies.
He said that fifth columnists sabotaging national security efforts must be identified and punished.
The cleric warned that peace, stability, and development could remain elusive without decisive as well as coordinated action.(NAN)(
www.nannews.ng
)
TAA/AOS
===========
Edited by Bayo Sekoni",https://nannews.com.ng/2025/08/14/economic-reforms-ccn-president-commends-tinubu-seeks-periodic-policy-review/
"Katsina, UNICEF collaborate to modernise Tsangaya education system",Bamalli Abbas,8/14/2025 18:53,Education,"Katsina, UNICEF collaborate to modernise Tsangaya education system
Tsangaya
By Abbas Bamalli
Katsina, Aug. 14, 2025 (NAN) The Katsina State Government, has partnered the United Nations Children Funds (UNICEF), to integrate core-subjects into the Tsangaya education system in the state.
Mr Muntaka Mukhtar, an Education Specialist with UNICEF Kano Field Office, disclosed this in Katsina on Thursday at a workshop organised for Tsangaya school proprietors.
The News Agency of Nigeria (NAN) reports that the workshop was organised through the state�??s Agency for Mass Education, with support from UNICEF.
According to Mukhtar, the aim was to ensure that all the children are in school.
He said, �??At UNICEF, we always promote that education is a right of the child and should be given that right.
�??And we�??re aware that Katsina is facing a lot of security challenges which are likely going to hinder many children from going to school.
�??So, we�??re trying to see how we ensure that some of these tsangaya school operators who are running the Qur�??anic schools, allow their children to have quality basic education within their own environment.�?�
The education specialist expressed the belief that wherever children were, they can learn, and they can benefit from whatever they learn in future.
He explained that the exercise was aimed at interacting with the Tsangaya school operators to see that they permit all these children to continue to also acquire the western education.
Mukhtar said, �??What we�??re trying now is to see that at least these children are not denied their right to education, and they are supported to maximise their own potential as much as they can.
�??We had a similar exercise last year, we had another number more than this. This time is only 100 based on what we can think.
�??But, we are not only picking numbers, we�??re looking at those that have a large number of children under them, and are also willing to allow them to assess quality basic education.�?�
He further expressed hope that the government would sustain this kind of engagement as their own responsibility.
According to him, at the end of the exercise, the participants are expected to come up with an action plan on how they are going to position their centres to integrate core subjects, especially English language, mathematics, among others.
Also, one of the facilitators at the workshop, Prof. Umar Alqali, from the Faculty of Law, University of Maiduguri, said Katsina had more than 8,000 tsangaya schools, with no fewer than 500,000 children.
He highlighted the importance of the exercise, especially considering the above mentioned number of the Tsangaya schools and the children across the state.
�??With this, we�??ve to come to terms with the fact that we can�??t allow this huge number of our population to go without giving them the Western education, which is of course, needed for day to day activities.
�??We intend to support this process without interfering with the primary essence of the schools, which is the memorisation of the Holy Qur�??an,�?� he said.
Earlier, the UNICEF focal person at the state�??s agency for Mass Education, Malam Abdulbaki Lawal-Lema, said the exercise was important because the world is revolving towards western education.
He said, �??This batch comprises six local government areas of Rimi, Katsina, Mani, Baure, Kafur and Kankara where 100 proprietors were selected for this purpose.
�??They are being taught the importance of integration of western education into the Almajiri system of education to learn the basics.�?�(NAN)(www.nannews.ng)
AABS/BEKl/BRM
=================
Edited by Abdulfatai Beki/Bashir Rabe Mani",https://nannews.com.ng/2025/08/14/katsina-unicef-collabotate-to-modernise-tsangaya-education-system/
AIG commits to boosting police welfare,Zubairu Idris,8/14/2025 18:47,Defence/Security,"AIG commits to boosting police welfare
AIG
By Zubairu Idris
Katsina, Aug. 14, 2025 (NAN) The Assistant Inspector-General of Police (AIG), Zone 14, Mr Aliyu Abubakar-Musa, has reiterated his commitment to enhancing the welfare of Police officers in Katsina and Kaduna State Commands to boost their morale in fighting insecurity.
Abubakar-Musa made the remarks on Thursday in Katsina at the inauguration of the newly renovated lodge for officers on special duty at the 27 PMF Squadron Base, Katsina.
He said that the renovation was made possible through the philanthropic gesture of Alhaji Muhammad Ladan, CEO of Broadlink Nigeria Limited.
The AIG expressed appreciation to the philanthropist for the gesture, which he said, would go a long way in boosting the morale of officers in the zone.
He further commended the Commanding Officer (CO) of the 27 PMF Squadron Katsina, ACP Adamu Sambo, for initiating the project that was aimed at enhancing personnel welfare.
Abubakar-Musa stated that the CO�??s efforts aligned with his own vision, and urged all the officers to emulate such initiatives.
In his remarks, the Commissioner of Police, Katsina State Command, Mr Bello Shehu, who was represented by the DCP, Department of Finance and Administration, DCP Aminu Usman, called for the judicious use of the facility.
He urged the public to emulate the philanthropist with a view to boosting the morale of the officers toward effective fighting of insecurity in the zone.(NAN) (
www.nannews.ng)
ZI/BRM
==========
Edited by Bashir Rabe Mani",https://nannews.com.ng/2025/08/14/aig-commits-to-boosting-police-welfare/
"Man, 26, remanded over alleged N450,000 fraud, certificate forgery",Olawale Akinremi,8/14/2025 18:44,Judiciary,"Remand
By Olawale Akinremi
Ibadan, Aug. 14, 2025 (NAN) A Mapo Grade �??A�?? Customary Court in Ibadan on Thursday remanded a 26-year-old suspected fraudster, Musa Jafar, over an alleged fraud of N450,000 and certificate forgery.
Jafar, however, pleaded not guilty to the five-count charge, bordering on conspiracy, false pretence, fraudulent obtaining and forgery, brought against him.
Following his not-guilty plea, the court�??s President, Mrs S.M. Akintayo, admitted him to bail in the sum of N400,000 with two sureties in like sum.
Akintayo added that one of the sureties must be a blood relation and the other, a community leader.
She added that they must both show evidence of tax payments to the Oyo State Government.
Subsequently, she adjourned the hearing of the case to Aug. 28.
The prosecuting counsel, Insp Ayodeji Ayeni, had earlier informed the court that the defendant allegedly committed the crime sometime in June 2024 at the Basorun area of Ibadan.
Ayeni said Jafar, with others at large, fraudulently obtained N450,000 from one Ms Naimat Oladepo, deceiving her that she would be taught some professional courses in Information, Communication and Technology (ICT).
The prosecutor also noted that the defendant presented a forged certificate to the complainant to prove that he was an expert in the field of ICT.
According to Ayeni, the offences contravened the provisions of Section 516, 419, 467 and 390 (9) of the Criminal Code, Cap 38, Vol. II, Laws of Oyo State 2000. (NAN)(
www.nannews.ng
)
SEM/MAS
Edited by Moses Solanke",https://nannews.com.ng/2025/08/14/man-26-remanded-over-alleged-n450000-fraud-certificate-forgery/
"Kaduna distributes ID cards to 15,916 vulnerables, pregnant women, under-5 children",Stella Kabruk,8/14/2025 18:37,Health,"Kaduna distributes ID cards to 15,916 vulnerables, pregnant women, under-5 children
By Stella Kabruk
Distribution
Kaduna,Aug.14,2025(NAN) The Kaduna State Contributory Health Management Authority, has commenced the distribution of identity cards to 15,916 vulnerables, pregnant women and children under five years under the Health Insurance Scheme.
Speaking at the lunch of the distribution on Thursday in Kaduna, the state Deputy Governor, Dr Hadiza Balarabe,
said the initiative?� was aimed at enhancing the well-being of the citizens.
She said health was a fundamental human right, adding, �??it is the responsibility of the government to ensure that every citizen, regardless of their socio-economic status, has access to quality healthcare.�?�
According to her, in the country today,
over 70 per cent?� of healthcare spending is still out-of-pocket, a heavy burden that breaks the backs of the poor.
She said the health insurance scheme was the bridge from vulnerability to security, from exclusion to inclusion, from despair to dignity.
Balarabe said, �??Let this initiative be a catalyst for further actions.
�??We must continue to advocate programmes that uplift our vulnerable populations, ensuring that no one is excluded in our pursuit for health equity.
�??We are not just distributing cards, but offering care,?� delivering compassion, and demonstrating commitment to a cause greater than ourselves, the cause of health for all, hope for all, and help for all.
�??Our journey is not yet over, our job is not yet done, and our duty is not yet fulfilled together, we will strive to create a Kaduna State where everyone has the opportunity to lead healthy and fulfilling lives.�?�
She added that the distribution was a clear confirmation of government�??s boundless commitment to expanding access to quality healthcare.
Balarabe added, �??We hold firm to the conviction that no citizen should be left behind, no community should be overlooked, and no life should be lost simply because they cannot afford the needed care.
�??From the moment His Excellency,?� Uba Sani, assumed office, the administrations�?? mission has been clear: bring healthcare closer, make healthcare cheaper, and ensure healthcare is better.
�??We have revitalized Primary Health Centers and General Hospitals; we have equipped them, staffed them, and powered them.
�??This is because a healthy people make a stronger Kaduna, a stronger Kaduna makes a stronger Nigeria, and a stronger Nigeria serves, all of us.�?�
According to her,the government investments in health transcend beyond buildings and equipment, to touch lives.
�?� These investments are translating to women who can now deliver safely, children who can now grow healthy, and families who can now live without the fear of medical bills pushing them into poverty,�?�,the deputy governor said.
She appreciated donor agencies and development allies: UNICEF, the Gates Foundation,?� the Clinton Health Access Initiative (CHAI) and others?� for support
Balarabe added, �?� I single out the Clinton Health Access because their direct enrollment of over 20,000 vulnerable persons, mostly women, into this scheme is a powerful proof of what partnerships can produce.
�?� Our traditional rulers,?� thank you for using that influence to mobilize your people for health.
�??To philanthropic individuals and organizations, you are planting seeds of service whose harvest will be measured in healthier generations.�?�
She appealed?� to corporate bodies, philanthropists and community leaders, to support more families and strengthen shared future.
In her remarks ,the state Commissioner for Health , Umma Ahmed, said the distribution was a bold statement of the?� administration�??s unwavering determination to ensure that no woman or child in the state?� was denied access to quality healthcare due to financial barriers.
She said the?� initiative, which built on the Memorandum of Understanding signed in August 2023, had already recorded an impressive milestone�??31,165 beneficiaries enrolled to date, surpassing the original target of 20,000.
Ahmed added that beyond the numbers, the impact of the distribution would be felt in the improved access to life-saving maternal, newborn, and child health services across all primary healthcare facilities.
She said, �??It is a step towards reducing maternal and child mortality rates, improving health outcomes, and building a healthier, more resilient Kaduna State.�?�
Ahmed called on community leaders, political appointees, health workers, and media partners to help spread the message of hope, encouraging other eligible individuals to enroll and take advantage of the scheme.
She appreciated the state Governor
for his continued investments in the health sector, and to all the partners and stakeholders for their steadfast commitment.
�?� Together, we are building a future where every resident of Kaduna State can access quality healthcare, regardless of their socio-economic status,�?�Ahmed said.
Earlier in an opening remark,the Director-General of the authority, Abubakar Hassan, said the distribution was a promised fulfilled by the government.
He said the governor approved the enrollment of 70,000 vulnerables into the scheme so as to gain access to affordable health care.
According to him, the 70,000 are from the formal sector and they needed to do more to boost the informal sector.(NAN)(www.nannews.ng)
KSS/BEKlBRM
================
Edited by Abdulfatai Beki/Bashir Rabe Mani",https://nannews.com.ng/2025/08/14/kaduna-distributes-id-cards-to-15916-vulnerables-pregnant-women-under-5-children/
FCTA continues onslaught on criminal hideouts in Abuja,Philip Daniel Yatai,8/14/2025 18:32,Defence/Security,"Demolition
By Philip Yatai
Abuja, Aug. 14, 2025 (NAN) The City Sanitation Taskforce of the Federal Capital Territory Administration (FCTA) has demolished a criminal hideout in Apo Resettlement, Abuja, in continuation of its ongoing onslaught on criminal hideouts across the capital city.
Mr Mukhtar Galadima, Director of Development Control, who heads the operation told journalists during the exercise on Thursday, that the location had been contributing to the insecurity in Apo and environs.
Galadima described the area as one of the identified �??dark spots�?� inhabited by criminal elements in the city, with reported killings by miscreants living in the area.
This, according to him, had made the area a huge security threat to other residents.
�??This is part of the continuation of the city sanitation operations to rid the city of criminal elements.
�??This place has been identified as one of the notorious dark spots in the city and we are here to clear the area to make it safe for residents.
�??There are credible and verifiable security and intelligence reports about these locations. In fact, there were instances where some people were even killed around this area.
�??So, for the fact that this place was identified as a dark spot, it�??s enough for it to be demolished, cleared and removed everything, including the fence.
He said that the step was part of the FCTA�?? s measures to keep miscreants away from green areas and empty plots of land.
Mr Adamu Gwary, Director, Security Services Department, FCTA, confirmed that residents of the area had been complaining about criminal activities in the area.
Gwary, who was represented by the Secretary, Command and Control Centre, Dr Peter Olumuji said that apart from a safe haven for suspected armed robbers, illicit drug peddling also thrive in the area.
�??Some few weeks ago, there was an attack on residents and the criminals hid in the area.
�??Over 50 armed robbers came here to attack the residents here, but the quick response from the FCT Police Command and sister agencies prevented that attack from snowballing�?�, he said.
The News Agency of Nigeria (NAN) recalls that the taskforce on Aug. 6, demolished illegal structures and shanties in Wuse Zone 3, and moved to UTC for a similar exercise on Monday.
The taskforce also demolished illegal structures and shanties, popularly known as �??Cashew Garden�?� in Apo Cadastral Zone E27, Abuja, on Tuesday.(NAN)(www.nannews.ng)
FDY/ROT
========
Edited by Rotimi Ijikanmi",https://nannews.com.ng/2025/08/14/fcta-continues-onslaught-on-criminal-hideouts-in-abuja/
Association sues for calm from members amid NCS licence review,Martha Agas,8/14/2025 18:22,Economy,"Association sues for calm from members amid NCS licence review
Licence
By Martha Agas
Abuja, Aug. 14, 2025 (NAN) �??The Customs Consultative Committee (CCC) has urged its members to remain calm amid the Nigeria Customs Service (NCS) planned review of licence fees for licenced customs agents.
The Chairman of the CCC, Hakeem Olanrewaju, made the call in a statement on Thursday.
The News Agency of Nigeria (NAN) reports that the NCS recently announced that it had begun consultations with key stakeholders ahead of its planned review of licence renewal fees for licenced customs agents.
The implementation of the fees is set to take effect in January 2026.
Olanrewaju urged practitioners to go about their respective businesses without tension, emphasising the importance of obedience to laws and regulations.
�??We appreciate the NCS�??s commitment to an inclusive process and look forward to continued collaboration and fair negotiations, �?? he said.
Olanrewaju?� said that the NCS recently invited the leadership of freight forwarding to discuss the review pursuant to its statutory mandate under Sections 103 to 107 of the NCS Act, 2023.
He said that during the meeting, the Comptroller-,General (C-G), Mr Bashir Adewale emphasised that the enforcement of the four per cent Fee On Board (FOB) was not negotiable, as it was in line with the provisions of the NCS Act, 2023.
He added that the NCS had discontinued the seven per cent payment on total annual revenue collection and the one per cent Comprehensive Inspection and Supervision Scheme (CISS), to be implemented immediately.
Olanrewaju, however, said that the proposed review of the licencing fees was met with resistance from freight forwarding associations due to its outrageous nature.
He said that the associations requested time to consult with their constituents and report back to the management of the NCS by December.
�??The CCC, in collaboration with the leadership of freight forwarding associations, has ensured a mutual understanding and fair negotiations under the present circumstanc
�??The CCC reaffirms its dedication to promoting a secure, competitive, and efficient trading environment in Nigeria.
�??We encourage all the stakeholders to work together to achieve this goal, ensuring that the interests of all parties are considered and respected,�?� the chairman said.(NAN)(www.nannews.ng)
MAA/BRM
============
Edited by Bashir Rabe Mani",https://nannews.com.ng/2025/08/14/association-sues-for-calm-from-members-amid-ncs-licence-review/
"Kaduna Govt. dismisses ADC/SDP sabotage claims, accuses coalition of political desperation",Hussaina Yakubu,8/14/2025 18:17,General News,"Kaduna Govt. dismisses ADC/SDP sabotage claims, accuses coalition of political desperation
Allegation
By Hussaina Yakubu
Kaduna, Aug. 14, 2025 (NAN) The Kaduna State Government has rejected allegations by the African Democratic Congress (ADC) and the Social Democratic Party (SDP) of plans to sabotage Saturday�??s bye-elections, describing the claims as �??laughable lies�?� and a distraction by �??political leftovers�?� of former Governor Nasir El-Rufai.
The ADC/SDP coalition, led by the ADC National Vice Chairman (North-West), Mr Jafaru Sani, had on Thursday accused the state government of recruiting thugs, inducing electoral officials, and planning large-scale vote buying.
This,it alleged, is to influence the outcome of the bye-elections in Chikun/Kajuru Federal Constituency and the State Constituencies in Zaria and Sabon-Gari LGAs.
According to the statement, the coalition uncovered what it described as a coordinated scheme involving recruitment of over 4,000?� thugs to intimidate opposition supporters at polling units and collation centres.
But responding at a press briefing in Kaduna, the Commissioner-designate for Information, Mr Ahmed Maiyaki, said the accusations were �??baseless, mischievous and a desperate attempt to discredit an election the coalition knows it cannot win.�?�
Maiyaki, who addressed journalists alongside the Commissioner for Local Government, Mr Sadiq Mamman-Lagos, said the poor turnout at the coalition�??s recent rallies showed their lack of support, adding that their press statement was a �??face-saving effort ahead of their impending defeat.�?�
He dismissed the claim that plots of land were being offered to INEC officials as inducement, as well as the allegation that a �??disgraced former senator�?� was coordinating the deployment of funds for electoral manipulation.
According to him, the conduct of elections is the sole responsibility of INEC and not the state government.
�??We will not sit idly by while political opportunists smear the name of our administration and malign innocent officials with wild, unsubstantiated claims,�?� Maiyaki said.
He added that the state�??s legal team had been directed to review the coalition�??s allegations for possible legal redress.
Making reference to the past, Maiyaki alleged that former Gov. El-Rufai once ordered thugs to attack the Nigeria Union of Journalists (NUJ) Secretariat in Kaduna, saying such acts of political violence were alien to the leadership style of Gov. Uba Sani.
He stated that the Governor was currently in Chikun Local Government Area to inaugurate the construction of Romi Karatudu township roads, �??a community that was abandoned and demolished during El-Rufai�??s eight years in office.�?�
Maiyaki maintained that?�Sani�??s administration had promoted unity and inclusive governance, which, according to him, had unsettled opposition figures.
�??Democracy in Kaduna is alive and thriving and no amount of theatre from El-Rufai�??s political leftovers in ADC will change that,�?� he said.
Also speaking, Mamman-Lagos denied the coalition�??s claim that local governments were forced to contribute funds for election interference.
He described El-Rufai as �??a frustrated politician who is sinking and wants to drag others along.�?�
The state government urged voters to disregard the allegations and turn out en masse on Saturday to exercise their civic rights peacefully.(NAN)(www.nannews.ng)
HUM/BRM
===========
Edited by Bashir Rabe Mani",https://nannews.com.ng/2025/08/14/kaduna-govt-dismisses-adc-sdp-sabotage-claims-accuses-coalition-of-political-desperation/
